site_key,site_name,COMMON NAME,SCIENTIFIC NAME,checklists,individuals
amelia,Amelia,Eastern Wood-Pewee,Contopus virens,144,289
amelia,Amelia,Eastern Yellow Wagtail,Motacilla tschutschensis,0,0
amelia,Amelia,Eastern/Western Warbling Vireo,Vireo gilvus/swainsoni,0,0
amelia,Amelia,Egretta sp.,Egretta sp.,0,0
amelia,Amelia,Egyptian Goose,Alopochen aegyptiaca,0,0
amelia,Amelia,Elegant Tern,Thalasseus elegans,0,0
amelia,Amelia,Empidonax sp.,Empidonax sp.,3,4
amelia,Amelia,Emu,Dromaius novaehollandiae,0,0
amelia,Amelia,Eurasian Collared-Dove,Streptopelia decaocto,0,0
amelia,Amelia,Eurasian Whimbrel,Numenius phaeopus,0,0
amelia,Amelia,Eurasian Wigeon,Mareca penelope,0,0
amelia,Amelia,Eurasian x American Wigeon (hybrid),Mareca penelope x americana,0,0
amelia,Amelia,Eurasian/American Wigeon,Mareca penelope/americana,0,0
amelia,Amelia,European Golden-Plover,Pluvialis apricaria,0,0
amelia,Amelia,European Goldfinch,Carduelis carduelis,0,0
amelia,Amelia,European Greenfinch,Chloris chloris,0,0
amelia,Amelia,European Starling,Sturnus vulgaris,13,61
amelia,Amelia,European Storm-Petrel,Hydrobates pelagicus,0,0
amelia,Amelia,Evening Grosbeak,Hesperiphona vespertina,0,0
amelia,Amelia,Ferruginous Hawk,Buteo regalis,0,0
amelia,Amelia,Field Sparrow,Spizella pusilla,165,528
amelia,Amelia,Fish Crow,Corvus ossifragus,7,8
amelia,Amelia,Fork-tailed Flycatcher,Tyrannus savana,0,0
amelia,Amelia,Forster's Tern,Sterna forsteri,0,0
amelia,Amelia,Forster's/Common Tern,Sterna forsteri/hirundo,0,0
amelia,Amelia,Fox Sparrow,Passerella iliaca,39,93
amelia,Amelia,Franklin's Gull,Leucophaeus pipixcan,0,0
amelia,Amelia,Fulvous Whistling-Duck,Dendrocygna bicolor,0,0
amelia,Amelia,Gadwall,Mareca strepera,0,0
amelia,Amelia,Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos,0,0
amelia,Amelia,Garganey,Spatula querquedula,0,0
amelia,Amelia,Glaucous Gull,Larus hyperboreus,0,0
amelia,Amelia,Glossy Ibis,Plegadis falcinellus,0,0
amelia,Amelia,Glossy x White-faced Ibis (hybrid),Plegadis falcinellus x chihi,0,0
amelia,Amelia,Glossy/White-faced Ibis,Plegadis falcinellus/chihi,0,0
amelia,Amelia,Golden Eagle,Aquila chrysaetos,0,0
amelia,Amelia,Golden Pheasant,Chrysolophus pictus,0,0
amelia,Amelia,Golden-crowned Kinglet,Regulus satrapa,62,143
amelia,Amelia,Golden-winged Warbler,Vermivora chrysoptera,0,0
amelia,Amelia,Golden-winged x Blue-winged Warbler (hybrid),Vermivora chrysoptera x cyanoptera,0,0
amelia,Amelia,Golden-winged/Blue-winged Warbler,Vermivora chrysoptera/cyanoptera,0,0
amelia,Amelia,Golden/Bald Eagle,Aquila chrysaetos/Haliaeetus leucocephalus,0,0
amelia,Amelia,Grasshopper Sparrow,Ammodramus savannarum,8,11
amelia,Amelia,Gray Catbird,Dumetella carolinensis,111,204
amelia,Amelia,Gray Flycatcher,Empidonax wrightii,0,0
amelia,Amelia,Gray Heron,Ardea cinerea,0,0
amelia,Amelia,Gray Kingbird,Tyrannus dominicensis,0,0
amelia,Amelia,Gray-cheeked Thrush,Catharus minimus,2,2
amelia,Amelia,Gray-cheeked/Bicknell's Thrush,Catharus minimus/bicknelli,0,0
amelia,Amelia,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,0,0
amelia,Amelia,Graylag Goose,Anser anser,0,0
amelia,Amelia,Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis,0,0
amelia,Amelia,Great Black-backed Gull,Larus marinus,0,0
amelia,Amelia,Great Blue Heron,Ardea herodias,106,142
amelia,Amelia,Great Cormorant,Phalacrocorax carbo,0,0
amelia,Amelia,Great Crested Flycatcher,Myiarchus crinitus,77,94
amelia,Amelia,Great Egret,Ardea alba,9,11
amelia,Amelia,Great Horned Owl,Bubo virginianus,5,6
amelia,Amelia,Great Shearwater,Ardenna gravis,0,0
amelia,Amelia,Great Skua,Stercorarius skua,0,0
amelia,Amelia,Great Tit,Parus major,0,0
amelia,Amelia,Great/Double-crested Cormorant,Phalacrocorax carbo/Nannopterum auritum,0,0
amelia,Amelia,Greater Scaup,Aythya marila,0,0
amelia,Amelia,Greater White-fronted Goose,Anser albifrons,0,0
amelia,Amelia,Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,0,0
amelia,Amelia,Greater Yellowlegs,Tringa melanoleuca,0,0
amelia,Amelia,Greater/Lesser Scaup,Aythya marila/affinis,0,0
amelia,Amelia,Green Heron,Butorides virescens,29,38
amelia,Amelia,Green Peafowl,Pavo muticus,0,0
amelia,Amelia,Green Pheasant,Phasianus versicolor,0,0
amelia,Amelia,Green-tailed Towhee,Pipilo chlorurus,0,0
amelia,Amelia,Green-winged Teal,Anas crecca,1,1
amelia,Amelia,Groove-billed Ani,Crotophaga sulcirostris,0,0
amelia,Amelia,Gull-billed Tern,Gelochelidon nilotica,0,0
amelia,Amelia,Hairy Woodpecker,Leuconotopicus villosus,59,69
amelia,Amelia,Hammond's Flycatcher,Empidonax hammondii,0,0
amelia,Amelia,Harlequin Duck,Histrionicus histrionicus,0,0
amelia,Amelia,Harris's Sparrow,Zonotrichia querula,0,0
